account_id,rate_plan_id,start_date,end_date
141,3,1/23/2023,9/29/2024
19,3,7/9/2022,7/24/2021
135,2,8/17/2023,5/28/2024
48,5,5/7/2023,10/1/2023
18,5,3/15/2023,7/28/2021
41,4,1/9/2021,11/16/2022
140,5,2/27/2023,11/15/2022
104,1,5/28/2021,6/23/2024
90,2,10/27/2024,11/24/2023
55,3,12/15/2024,9/8/2024
85,3,7/27/2023,7/17/2021
76,2,8/23/2022,9/18/2024
193,5,7/26/2024,9/10/2024
136,4,2/12/2022,5/24/2022
144,1,6/20/2021,2/12/2021
30,3,1/2/2023,10/14/2023
115,2,6/23/2023,11/10/2023
165,5,10/30/2023,8/17/2022
160,2,3/28/2022,9/17/2021
11,3,12/18/2024,4/8/2023
98,1,7/23/2021,9/18/2023
99,3,8/5/2023,2/13/2023
139,3,3/4/2022,4/24/2024
7,5,12/12/2021,8/16/2023
198,3,4/3/2021,9/17/2023
132,5,9/3/2023,2/1/2021
115,4,3/13/2023,8/4/2023
12,3,9/12/2021,5/7/2021
167,2,7/27/2023,3/22/2021
83,5,8/8/2024,12/9/2021
22,1,8/25/2024,7/2/2021
43,5,9/1/2024,9/22/2021
137,1,6/13/2023,9/23/2021
161,1,2/16/2024,6/9/2022
54,2,6/20/2024,7/24/2021
176,4,10/30/2023,9/8/2022
27,2,7/18/2022,1/13/2023
138,4,8/7/2023,3/1/2023
166,1,4/30/2022,10/11/2024
192,2,11/1/2024,3/14/2021
7,4,1/31/2024,1/20/2021
184,3,9/17/2022,10/13/2023
10,1,3/3/2024,11/18/2023
19,1,8/4/2023,2/3/2024
46,3,7/16/2023,11/27/2022
143,1,9/21/2022,3/20/2021
148,2,3/13/2021,4/18/2022
67,4,3/7/2021,3/25/2022
100,4,10/26/2021,8/2/2024
162,4,10/14/2022,9/19/2022
111,3,12/31/2023,9/9/2021
5,4,1/6/2021,3/27/2024
173,1,12/13/2022,1/22/2021
137,1,3/29/2022,2/1/2023
165,5,5/15/2022,11/30/2022
17,5,8/13/2023,5/8/2022
12,1,4/23/2024,12/11/2022
92,5,7/19/2021,1/30/2024
28,3,10/7/2021,1/26/2024
176,3,6/20/2024,10/7/2023
156,1,3/7/2021,8/6/2023
73,4,11/2/2023,2/3/2024
98,4,2/16/2024,5/9/2024
170,1,10/25/2022,2/21/2023
122,2,4/2/2021,1/31/2021
137,2,1/11/2022,9/1/2021
35,4,2/21/2021,11/28/2022
140,3,2/27/2022,10/19/2024
163,2,5/1/2024,11/6/2021
77,3,10/27/2023,12/27/2021
3,5,9/22/2022,4/23/2022
143,2,6/30/2023,5/16/2021
32,1,7/15/2023,12/28/2022
2,5,8/11/2021,11/16/2021
153,4,7/10/2021,11/21/2022
138,5,1/9/2022,5/29/2023
22,3,1/30/2024,10/10/2024
54,3,8/18/2024,9/22/2021
55,4,5/25/2021,1/13/2023
166,5,4/14/2023,8/3/2022
37,2,6/2/2022,6/8/2021
48,2,10/14/2023,6/9/2021
158,3,1/31/2024,8/16/2023
50,1,12/20/2022,11/21/2021
47,5,5/30/2023,1/16/2023
14,5,4/18/2021,2/1/2021
119,5,3/18/2024,10/16/2022
19,3,4/2/2024,12/23/2023
172,1,5/23/2021,11/13/2021
65,1,2/19/2024,8/3/2021
51,5,4/22/2022,5/29/2021
125,3,6/27/2023,1/1/2024
92,2,9/27/2021,3/30/2024
172,2,10/29/2021,8/20/2022
26,3,4/19/2024,10/12/2021
