bill_id,account_id,billing_period_start,billing_period_end,total_amount,due_date
1,96,9/7/2023,9/19/2022,496.79,4/1/2023
2,98,3/23/2023,4/18/2021,251.84,4/3/2021
3,97,7/27/2023,6/3/2023,219.04,2/21/2021
4,175,11/5/2023,10/9/2021,483.86,3/25/2022
5,139,1/8/2021,5/27/2021,109.85,10/5/2021
6,90,7/7/2023,1/31/2021,103.38,12/31/2023
7,138,11/19/2024,1/8/2024,226.88,6/18/2021
8,33,9/12/2022,3/22/2023,377.54,5/4/2024
9,58,7/2/2022,1/1/2024,425.67,11/7/2022
10,194,10/12/2023,11/14/2022,60.23,2/7/2022
11,77,1/11/2021,2/14/2021,258.35,8/16/2023
12,185,4/15/2022,1/7/2021,295,5/30/2023
13,137,4/16/2021,10/23/2023,220.67,1/15/2021
14,59,2/18/2022,7/25/2023,161.38,5/21/2024
15,89,12/16/2023,4/29/2023,119.8,10/11/2021
16,49,7/5/2023,7/10/2022,471.83,9/24/2021
17,186,12/27/2024,1/14/2021,394.47,8/23/2024
18,9,1/25/2022,3/15/2023,414.27,12/18/2022
19,108,10/9/2021,7/1/2023,326.72,4/14/2022
20,5,10/18/2024,1/18/2024,158.3,3/30/2024
21,18,1/18/2022,10/9/2021,95.4,5/1/2021
22,9,2/18/2022,10/28/2023,250.9,4/18/2024
23,173,9/15/2024,2/12/2022,366.48,9/15/2024
24,13,10/8/2021,3/12/2022,160.13,3/18/2021
25,12,10/17/2023,7/22/2022,231.02,5/13/2022
26,60,7/28/2021,1/29/2024,292.89,6/27/2024
27,194,7/21/2021,4/8/2022,438.68,1/2/2023
28,15,8/24/2022,6/30/2024,113.06,7/10/2024
29,75,2/4/2022,3/29/2023,155.37,1/26/2023
30,188,10/30/2023,11/21/2021,309.25,7/20/2024
31,148,12/24/2023,10/11/2024,319.06,12/11/2022
32,173,5/28/2021,11/6/2022,418.27,4/20/2023
33,61,5/2/2023,9/19/2023,185.79,1/9/2022
34,37,2/26/2023,10/9/2024,493.56,8/9/2023
35,134,12/16/2023,1/3/2021,149.47,12/31/2023
36,77,7/7/2021,8/25/2021,173.82,9/24/2023
37,143,7/10/2022,9/8/2021,476.83,12/23/2022
38,189,6/14/2022,7/12/2022,460.21,6/17/2024
39,161,6/28/2022,10/19/2022,355.44,9/1/2023
40,143,8/8/2021,12/4/2022,273.03,5/8/2021
41,89,12/20/2022,9/27/2023,473.71,11/19/2024
42,172,8/12/2021,4/26/2021,221.52,7/30/2022
43,135,3/7/2022,3/15/2022,193.43,11/23/2022
44,107,7/9/2021,8/17/2022,233.72,1/3/2022
45,77,8/18/2021,11/14/2022,219.41,10/1/2022
46,194,3/23/2024,11/1/2023,292.07,6/22/2024
47,62,1/7/2024,9/7/2024,432.2,4/17/2023
48,77,10/24/2024,12/31/2021,435.89,1/22/2021
49,37,11/14/2022,7/14/2023,412.6,11/17/2023
50,15,12/29/2023,9/17/2024,303.07,4/22/2022
51,107,3/5/2021,4/25/2021,300.78,5/9/2021
52,35,2/9/2021,1/21/2023,224.79,3/25/2023
53,66,5/16/2021,11/11/2024,141.5,8/22/2024
54,166,5/17/2023,8/3/2024,85.58,7/1/2022
55,116,3/29/2022,6/2/2021,431.21,2/6/2021
56,24,5/2/2021,12/5/2023,291.04,8/12/2023
57,49,7/22/2023,3/4/2021,73.19,9/4/2023
58,97,6/27/2022,7/16/2021,353.15,9/21/2024
59,155,4/10/2023,4/29/2022,67.8,12/11/2022
60,19,5/17/2022,7/30/2022,134.67,1/6/2021
61,195,7/7/2022,11/11/2023,314.41,12/27/2022
62,172,6/7/2021,11/13/2021,301.48,8/3/2023
63,123,8/9/2024,10/13/2021,144,8/14/2024
64,86,4/24/2021,7/4/2022,186.43,5/6/2022
65,4,2/7/2021,6/11/2021,145.31,9/29/2023
66,49,6/23/2023,2/15/2024,482.93,3/20/2021
67,31,11/14/2023,1/3/2024,386.1,2/28/2021
68,194,3/25/2021,10/9/2022,265.51,11/21/2023
69,63,11/26/2024,2/17/2024,363.03,2/19/2022
70,181,11/23/2024,6/26/2024,142.03,2/1/2021
71,62,6/16/2024,2/4/2022,298.44,2/15/2022
72,199,2/12/2022,8/15/2023,177.38,1/25/2023
73,120,3/14/2021,1/1/2023,290.14,12/30/2024
74,92,10/24/2021,10/14/2021,188.79,10/23/2024
75,93,12/6/2021,12/19/2024,280.77,7/25/2023
76,128,10/7/2021,10/30/2024,259.7,12/22/2022
77,185,2/10/2024,3/20/2022,261.27,5/26/2022
78,82,3/16/2021,2/10/2024,461.45,12/25/2023
79,95,7/15/2023,3/18/2023,190.81,5/26/2023
80,12,11/29/2023,5/8/2024,303.14,3/5/2024
81,57,11/1/2022,2/27/2022,383.56,8/30/2021
82,5,3/1/2021,12/8/2021,167.35,1/9/2022
83,150,3/14/2023,10/13/2021,310.61,2/14/2023
84,107,6/28/2022,10/14/2024,182.84,12/25/2021
85,51,4/10/2023,2/5/2021,198.44,2/22/2024
86,98,7/27/2022,7/30/2024,306.41,9/19/2023
87,63,4/20/2023,11/21/2021,274.69,5/2/2023
88,168,4/10/2024,9/17/2024,474.56,8/6/2024
89,87,3/28/2022,9/21/2022,165.8,6/30/2021
90,126,12/4/2023,12/27/2024,484.93,7/5/2023
91,165,5/4/2023,7/16/2024,382.82,3/31/2023
92,118,5/8/2024,5/21/2023,125.71,6/18/2021
93,91,7/16/2024,7/9/2023,126.17,7/24/2021
94,185,11/11/2021,5/14/2024,295.95,1/19/2022
95,48,5/23/2021,12/22/2022,462.6,12/3/2021
96,139,9/20/2023,4/24/2024,495.65,4/14/2021
97,16,3/19/2021,8/23/2024,285.77,11/6/2023
98,20,1/9/2023,3/25/2023,475.33,4/27/2021
99,172,4/21/2021,11/6/2024,71.83,12/10/2023
100,2,2/17/2022,11/20/2022,235.58,6/19/2024
101,162,2/1/2022,5/16/2022,154.15,11/29/2024
102,182,10/19/2021,7/18/2021,117.96,1/25/2023
103,56,2/10/2022,6/20/2021,277.58,10/14/2022
104,96,8/4/2024,6/10/2021,77.2,12/6/2024
105,164,10/18/2023,3/17/2024,350.04,11/12/2024
106,158,6/15/2022,10/11/2021,460.74,7/31/2024
107,169,11/4/2022,12/29/2024,269.53,9/23/2022
108,2,7/16/2021,3/20/2023,289.5,2/15/2021
109,106,1/23/2022,6/19/2021,55.33,4/1/2021
110,136,10/26/2022,10/27/2024,374.99,4/17/2021
111,138,9/14/2022,11/11/2022,489.87,5/24/2022
112,5,6/22/2024,8/7/2023,276,6/12/2022
113,179,2/14/2021,12/6/2021,353.31,9/19/2021
114,46,12/30/2023,5/13/2021,98.16,11/18/2022
115,25,6/7/2022,9/27/2023,285.97,12/1/2023
116,62,9/10/2024,12/22/2021,136.37,1/20/2023
117,135,1/9/2021,7/30/2022,163.59,3/12/2021
118,91,6/25/2022,3/6/2022,170.3,1/14/2022
119,102,7/3/2024,1/31/2024,85.56,12/1/2021
120,104,1/6/2022,7/24/2024,256.55,9/1/2022
121,63,6/3/2022,9/24/2022,495.6,3/29/2023
122,58,5/18/2022,11/13/2022,184.99,10/4/2023
123,21,9/30/2022,5/1/2021,344.18,10/25/2023
124,167,9/2/2021,8/10/2024,391.81,7/28/2023
125,24,5/9/2023,11/8/2024,232.38,11/28/2024
126,97,1/10/2024,10/27/2022,298.72,11/21/2021
127,15,12/2/2022,2/24/2022,336.54,1/12/2024
128,180,5/3/2024,1/7/2021,127.12,7/30/2021
129,128,9/16/2024,6/10/2021,430.4,8/6/2024
130,166,4/20/2022,3/30/2023,402.97,12/12/2023
131,145,7/22/2022,4/7/2022,489.8,5/12/2022
132,25,6/24/2021,3/24/2024,452.66,6/1/2022
133,11,10/15/2024,6/24/2022,153.39,12/5/2021
134,178,1/16/2022,10/14/2024,449.4,9/14/2022
135,122,5/2/2024,7/21/2023,171.99,12/23/2022
136,20,7/19/2024,5/15/2022,357.99,11/11/2021
137,72,9/20/2024,11/14/2024,454.69,12/23/2021
138,145,3/19/2021,1/2/2021,346.15,7/21/2022
139,46,12/28/2023,6/29/2024,467.94,2/9/2023
140,81,11/9/2024,5/14/2023,57.05,1/23/2021
141,54,7/27/2022,10/26/2024,314.17,10/28/2023
142,193,8/16/2021,2/4/2022,419.31,10/29/2024
143,102,7/13/2023,12/7/2023,467.99,7/18/2023
144,77,6/17/2022,6/15/2023,123.1,3/28/2023
145,62,12/29/2023,8/7/2022,305.01,6/11/2024
146,100,1/26/2022,11/18/2024,354.67,4/13/2023
147,139,5/16/2024,9/14/2023,199.28,11/20/2022
148,194,8/1/2023,9/30/2022,382.89,8/18/2024
149,177,9/28/2024,2/29/2024,375.87,3/19/2023
150,129,2/21/2022,5/13/2023,385.46,9/17/2023
151,89,10/5/2024,3/2/2021,74.16,1/23/2023
152,112,3/5/2021,3/23/2024,154.46,3/22/2021
153,20,1/31/2021,9/12/2024,203.27,10/6/2024
154,197,5/8/2022,6/13/2022,326.24,8/10/2022
155,153,4/13/2023,1/15/2021,228.52,11/3/2023
156,199,7/20/2023,9/8/2021,196.87,4/27/2022
157,163,6/27/2021,12/6/2021,173,9/21/2023
158,116,6/14/2022,4/9/2023,270.77,6/30/2021
159,92,1/2/2023,12/29/2022,298.87,4/6/2021
160,97,8/15/2022,2/25/2024,244.33,9/11/2021
161,175,5/19/2022,1/13/2021,313.64,3/4/2024
162,98,2/22/2021,3/17/2024,88.56,5/29/2021
163,159,1/30/2021,4/16/2022,182.92,10/16/2021
164,64,7/18/2021,9/28/2021,370.9,6/9/2021
165,22,5/28/2021,6/1/2023,170.59,12/31/2022
166,98,1/4/2022,5/25/2024,370.25,5/14/2024
167,163,4/23/2022,7/7/2023,119.42,1/22/2023
168,100,10/11/2023,12/8/2023,192.51,8/22/2022
169,28,3/6/2022,9/3/2023,91.18,4/4/2022
170,79,4/23/2024,3/2/2021,250.13,4/18/2023
171,195,8/5/2024,2/9/2023,171.39,6/3/2022
172,34,4/8/2023,9/7/2023,89.28,12/5/2023
173,111,5/23/2022,12/13/2024,251.98,4/22/2022
174,143,7/1/2022,3/31/2022,280.6,5/30/2023
175,27,2/23/2023,6/1/2022,61.82,6/2/2023
176,91,3/1/2022,5/14/2023,299.4,8/26/2024
177,153,1/15/2022,10/31/2022,319.12,7/11/2022
178,84,10/8/2024,6/2/2021,438.67,7/18/2022
179,4,1/17/2023,11/15/2023,181.33,1/18/2023
180,100,1/20/2021,5/24/2023,400.63,8/17/2021
181,186,12/21/2023,8/27/2021,455.51,5/28/2023
182,63,6/18/2021,5/20/2024,307.38,3/6/2024
183,44,7/8/2023,1/26/2022,358.39,3/22/2021
184,44,6/15/2021,11/11/2023,112.48,4/3/2021
185,78,2/21/2023,12/28/2022,170.78,2/13/2021
186,38,12/12/2023,1/15/2021,78.47,1/29/2022
187,112,8/16/2024,2/18/2023,174.18,8/8/2021
188,77,1/21/2023,12/16/2024,267.9,9/23/2023
189,20,11/11/2022,9/27/2023,212.51,11/12/2022
190,64,2/10/2024,7/14/2022,374.4,5/25/2024
191,127,7/23/2022,1/12/2024,317.21,5/26/2022
192,51,12/22/2024,3/2/2022,256.04,3/5/2024
193,35,2/3/2023,7/13/2022,187.1,4/15/2024
194,102,2/9/2021,9/28/2023,199.5,9/25/2022
195,159,8/22/2022,5/22/2024,220.95,3/16/2024
196,85,2/19/2024,7/15/2021,248.1,7/11/2022
197,111,7/23/2023,3/29/2023,416.96,10/13/2023
198,167,3/27/2021,8/1/2022,488.4,8/22/2024
199,35,8/28/2023,10/8/2024,185.2,10/13/2022
200,155,12/14/2024,7/29/2024,476.28,11/6/2021
201,52,9/18/2021,8/25/2023,265.55,7/23/2023
202,46,4/9/2023,3/26/2023,484.06,4/8/2024
203,82,2/10/2023,3/9/2021,181.15,10/28/2024
204,178,9/21/2022,3/3/2021,334.81,4/19/2024
205,148,8/26/2022,3/28/2022,401.89,7/19/2022
206,84,7/25/2023,10/12/2021,219.22,3/27/2022
