usage_id,meter_id,usage_date,kwh_used,peak_usage_flag
1,190,1/19/2022,489.36,FALSE
2,26,11/15/2024,834.3,FALSE
3,59,2/14/2023,367.27,FALSE
4,4,4/20/2022,710.94,TRUE
5,71,3/18/2022,55.06,TRUE
6,142,12/18/2022,299.22,TRUE
7,164,10/2/2021,869.78,FALSE
8,27,4/6/2024,873.99,FALSE
9,121,5/24/2021,483.93,FALSE
10,48,3/4/2023,965.84,FALSE
11,123,4/30/2022,122.95,TRUE
12,103,6/21/2022,496.83,TRUE
13,39,12/18/2023,157.71,FALSE
14,22,6/3/2023,993.98,TRUE
15,143,1/3/2024,766.8,TRUE
16,199,7/3/2024,527.35,FALSE
17,114,7/13/2023,304.38,FALSE
18,79,7/2/2021,572.94,TRUE
19,157,4/2/2021,960.51,TRUE
20,196,3/29/2021,215.71,TRUE
21,68,11/14/2021,663.82,TRUE
22,62,1/19/2021,182.08,TRUE
23,41,1/13/2024,12.65,FALSE
24,177,12/29/2021,597.87,FALSE
25,9,2/21/2024,239.16,FALSE
26,180,1/7/2022,861.01,TRUE
27,176,2/9/2024,241.09,FALSE
28,161,1/17/2022,593.89,TRUE
29,109,4/8/2024,123.63,TRUE
30,166,12/31/2023,157.5,FALSE
31,37,4/24/2021,80.7,TRUE
32,79,11/10/2021,599.09,FALSE
33,113,6/4/2023,133.11,FALSE
34,180,6/13/2021,408.48,FALSE
35,129,4/11/2023,544.58,FALSE
36,21,4/12/2022,602.06,FALSE
37,189,8/10/2022,329.1,FALSE
38,7,6/26/2023,100.41,TRUE
39,196,5/29/2023,675.56,FALSE
40,148,2/20/2021,49.83,TRUE
41,121,11/29/2023,523.77,FALSE
42,72,4/29/2022,189.67,FALSE
43,163,4/6/2021,816.1,TRUE
44,121,5/11/2023,354.48,FALSE
45,83,6/14/2024,673.43,TRUE
46,85,11/9/2023,417.53,FALSE
47,74,4/4/2024,665.96,FALSE
48,195,6/24/2023,554.6,FALSE
49,23,2/4/2024,321.37,FALSE
50,30,7/29/2024,970.48,FALSE
51,132,10/25/2022,826.68,TRUE
52,169,1/9/2021,870.67,FALSE
53,106,11/27/2021,63.66,FALSE
54,160,7/13/2023,758.88,FALSE
55,195,7/4/2022,61.1,FALSE
56,141,5/13/2024,139.7,FALSE
57,113,4/27/2021,882.04,FALSE
58,32,9/5/2022,38.58,TRUE
59,182,1/25/2023,166.79,TRUE
60,142,6/14/2023,413.91,TRUE
61,30,1/25/2024,466.83,TRUE
62,166,6/5/2022,833.82,FALSE
63,184,11/16/2021,298.94,FALSE
64,107,9/26/2023,836.38,FALSE
65,63,7/6/2023,462.22,TRUE
66,99,7/19/2024,198.7,TRUE
67,18,7/18/2021,283.48,FALSE
68,88,5/30/2021,934.91,FALSE
69,1,12/8/2024,290.01,FALSE
70,151,1/20/2021,584.12,FALSE
71,39,11/17/2022,452.08,FALSE
72,89,9/29/2022,339.12,FALSE
73,117,12/21/2023,933.52,TRUE
74,179,9/28/2024,246.42,FALSE
75,60,6/30/2023,857.45,FALSE
76,12,8/28/2024,324.99,FALSE
77,181,9/6/2024,914.3,FALSE
78,99,4/1/2021,988.53,TRUE
79,127,9/25/2023,965.18,TRUE
80,129,12/15/2022,965.7,FALSE
81,26,1/26/2022,875.45,FALSE
82,26,9/29/2023,530.69,FALSE
83,4,8/11/2022,725.22,FALSE
84,168,9/10/2022,970.26,TRUE
85,121,10/6/2023,783.71,FALSE
86,87,3/13/2021,627.03,FALSE
87,167,11/22/2024,89.51,FALSE
