log_id,asset_id,maintenance_date,maintenance_type
1,84,12/9/2021,Inspection
2,49,4/19/2023,Repair
3,33,7/2/2024,Repair
4,80,5/7/2021,Inspection
5,77,4/6/2024,Inspection
6,85,2/22/2021,Inspection
7,84,7/27/2023,Inspection
8,7,5/24/2023,Repair
9,15,5/21/2022,Replacement
10,57,5/18/2024,Replacement
11,16,10/17/2023,Repair
12,33,1/25/2024,Replacement
13,90,10/4/2021,Inspection
14,27,4/25/2023,Repair
15,88,7/30/2022,Repair
16,2,11/7/2023,Replacement
17,54,3/4/2021,Repair
18,13,7/12/2022,Repair
19,67,11/28/2023,Replacement
20,80,8/27/2021,Repair
21,90,12/17/2023,Inspection
22,54,8/11/2024,Inspection
23,66,10/16/2024,Repair
24,80,2/24/2024,Inspection
25,37,5/3/2022,Inspection
26,14,12/21/2024,Replacement
27,26,7/18/2023,Repair
28,26,6/6/2021,Replacement
29,67,7/27/2023,Inspection
30,46,1/25/2021,Repair
31,53,6/7/2024,Replacement
32,21,9/29/2024,Inspection
33,71,9/21/2022,Replacement
34,27,2/27/2024,Repair
35,62,2/12/2022,Replacement
36,31,10/10/2024,Inspection
37,2,10/14/2024,Repair
38,12,3/5/2022,Inspection
39,74,3/11/2024,Repair
40,64,3/6/2021,Inspection
41,12,10/28/2024,Repair
42,10,6/1/2024,Repair
43,93,3/15/2022,Inspection
44,33,10/27/2024,Repair
45,30,2/11/2022,Replacement
46,38,1/9/2024,Replacement
47,60,12/25/2024,Inspection
48,13,12/11/2021,Inspection
49,6,4/21/2023,Replacement
50,47,11/8/2023,Repair
51,41,11/16/2024,Replacement
52,95,5/30/2021,Inspection
53,13,3/13/2024,Inspection
54,2,6/1/2023,Inspection
55,85,10/26/2022,Repair
56,22,2/17/2021,Replacement
57,46,4/27/2023,Replacement
58,80,1/11/2023,Replacement
59,94,3/22/2021,Inspection
60,48,11/7/2022,Replacement
61,24,6/21/2022,Inspection
62,52,8/24/2024,Replacement
63,59,12/5/2023,Replacement
64,50,11/11/2024,Repair
65,62,7/25/2023,Replacement
66,84,12/9/2022,Inspection
67,15,1/6/2022,Inspection
68,90,12/4/2023,Repair
69,8,7/18/2022,Inspection
70,14,9/28/2024,Replacement
71,76,8/9/2021,Replacement
72,73,12/3/2022,Repair
73,57,7/23/2024,Inspection
74,79,1/10/2021,Replacement
75,100,5/26/2022,Replacement
76,79,12/16/2022,Inspection
77,88,6/13/2023,Repair
78,17,8/1/2022,Replacement
79,63,12/29/2021,Inspection
80,53,4/18/2021,Replacement
81,6,7/6/2022,Inspection
82,34,10/7/2021,Repair
83,41,8/18/2023,Inspection
