meter_id,account_id,meter_type,install_date
1,3,Smart,12/18/2023
2,20,Smart,10/25/2021
3,140,Smart,5/6/2023
4,95,Smart,6/7/2021
5,111,Smart,9/19/2022
6,11,Analog,5/17/2022
7,94,Smart,1/6/2021
8,92,Smart,1/20/2021
9,175,Smart,6/20/2024
10,171,Smart,1/15/2022
11,91,Analog,3/8/2023
12,159,Smart,5/8/2023
13,61,Smart,6/7/2024
14,46,Analog,8/29/2022
15,7,Smart,12/16/2021
16,189,Analog,5/25/2021
17,106,Smart,2/11/2022
18,69,Smart,9/15/2024
19,180,Smart,9/17/2023
20,98,Smart,9/29/2024
21,121,Smart,11/9/2023
22,52,Analog,2/19/2024
23,90,Analog,10/3/2022
24,59,Smart,9/5/2021
25,7,Smart,4/29/2024
26,103,Analog,6/1/2023
27,72,Smart,2/2/2022
28,198,Analog,4/17/2021
29,90,Analog,11/15/2023
30,174,Analog,8/22/2021
31,8,Smart,9/29/2024
32,67,Smart,11/27/2022
33,149,Analog,9/30/2021
34,10,Smart,5/24/2023
35,153,Analog,7/15/2024
36,89,Analog,8/2/2022
37,112,Smart,7/10/2024
38,99,Smart,2/10/2021
39,66,Smart,3/30/2021
40,182,Analog,10/14/2024
41,1,Smart,5/30/2021
42,94,Analog,4/16/2022
43,18,Analog,4/25/2023
44,160,Analog,12/16/2023
45,170,Smart,5/7/2022
46,185,Analog,12/4/2023
47,130,Analog,3/19/2024
48,171,Analog,6/4/2024
49,84,Analog,3/1/2022
50,179,Analog,11/5/2023
51,142,Smart,6/10/2021
52,50,Analog,10/10/2021
53,171,Analog,2/8/2021
54,174,Smart,10/18/2021
55,158,Analog,4/8/2021
56,104,Smart,10/9/2021
57,78,Analog,10/7/2022
58,54,Analog,2/1/2024
59,149,Analog,4/18/2022
60,120,Analog,12/27/2022
61,114,Smart,2/19/2022
62,131,Analog,7/13/2022
63,189,Smart,6/26/2021
64,169,Smart,11/5/2021
65,73,Analog,3/1/2022
66,24,Smart,1/17/2023
67,173,Analog,9/12/2021
68,58,Smart,3/9/2022
69,38,Smart,8/23/2023
70,12,Smart,6/7/2024
71,122,Smart,8/13/2021
72,117,Analog,9/25/2024
73,162,Smart,3/28/2022
74,184,Analog,5/19/2024
75,127,Analog,9/6/2024
76,63,Smart,9/4/2022
77,168,Smart,11/10/2024
78,193,Smart,12/22/2022
79,200,Analog,3/19/2023
80,57,Smart,12/1/2021
81,179,Analog,1/10/2024
82,13,Smart,5/4/2023
83,32,Analog,3/10/2021
84,35,Analog,2/24/2022
85,171,Analog,7/11/2023
86,194,Analog,6/7/2022
87,157,Analog,2/5/2023
88,141,Analog,8/19/2023
89,41,Analog,3/21/2023
90,116,Analog,7/23/2021
91,193,Smart,10/14/2021
92,164,Analog,4/15/2021
93,197,Analog,10/27/2022
94,161,Smart,4/24/2024
95,71,Analog,12/6/2022
96,20,Analog,2/3/2021
97,61,Analog,12/1/2024
98,86,Analog,5/9/2021
99,139,Smart,1/12/2022
100,36,Smart,3/6/2023
101,60,Analog,11/21/2022
102,178,Smart,4/2/2023
103,181,Smart,8/19/2021
104,17,Analog,3/23/2023
105,105,Analog,1/23/2024
106,139,Analog,12/29/2024
107,107,Smart,11/1/2021
108,53,Analog,4/23/2023
109,100,Smart,12/4/2021
110,196,Analog,12/31/2023
111,123,Smart,5/28/2023
112,91,Analog,4/6/2024
113,193,Analog,1/11/2022
114,108,Smart,4/28/2021
115,125,Smart,6/27/2024
116,70,Analog,1/15/2024
117,125,Smart,12/7/2021
118,100,Analog,12/16/2022
119,172,Analog,11/6/2022
120,186,Smart,1/11/2023
121,120,Smart,11/13/2024
122,160,Smart,8/17/2024
123,101,Smart,1/8/2024
124,22,Analog,8/30/2021
125,35,Analog,11/12/2022
126,47,Smart,9/30/2023
127,67,Analog,8/6/2024
128,84,Smart,5/22/2023
129,117,Analog,6/4/2021
130,87,Analog,4/8/2023
131,72,Analog,8/14/2021
132,65,Smart,8/8/2023
133,121,Smart,3/27/2022
134,192,Smart,3/9/2023
135,90,Smart,10/11/2021
136,167,Smart,2/25/2021
137,200,Smart,8/29/2024
138,194,Smart,2/17/2021
139,64,Smart,6/2/2022
140,6,Smart,5/17/2021
141,62,Smart,8/19/2023
142,122,Smart,6/30/2022
143,145,Smart,2/21/2023
144,120,Analog,1/24/2023
145,197,Analog,2/16/2024
146,43,Smart,3/8/2022
147,200,Smart,8/7/2024
148,80,Smart,7/9/2023
149,149,Smart,5/26/2023
150,80,Analog,7/2/2024
151,102,Smart,4/18/2021
152,20,Smart,1/22/2021
153,27,Analog,10/29/2022
154,176,Smart,4/19/2024
155,145,Smart,3/27/2023
156,89,Analog,12/28/2021
157,170,Analog,10/5/2021
158,18,Analog,3/14/2024
159,4,Analog,12/30/2024
160,126,Smart,9/3/2024
161,111,Analog,10/17/2022
162,163,Analog,5/11/2024
163,182,Smart,10/9/2024
164,112,Smart,7/16/2022
165,188,Analog,12/22/2023
166,158,Analog,7/19/2021
167,120,Analog,1/25/2023
168,188,Analog,9/30/2023
169,83,Smart,4/6/2021
170,23,Analog,1/17/2024
171,116,Smart,11/27/2024
172,193,Analog,11/9/2024
173,146,Analog,3/27/2021
174,87,Smart,7/29/2022
175,127,Analog,5/30/2024
176,47,Analog,1/22/2024
177,55,Analog,10/19/2022
178,67,Analog,2/26/2024
179,72,Analog,3/4/2023
180,143,Smart,10/19/2024
181,133,Smart,5/5/2021
182,22,Smart,2/21/2021
183,185,Analog,1/15/2022
184,126,Smart,6/29/2023
185,177,Analog,8/19/2021
186,166,Analog,3/27/2022
187,115,Smart,12/10/2023
188,24,Analog,4/22/2021
189,57,Analog,12/22/2023
190,178,Smart,3/20/2022
191,79,Analog,10/15/2022
192,122,Analog,1/24/2024
193,109,Analog,4/29/2021
194,91,Analog,9/22/2023
195,70,Analog,11/22/2023
196,65,Smart,4/3/2023
197,31,Smart,9/14/2021
198,81,Smart,4/6/2024
199,191,Smart,6/8/2024
200,50,Smart,11/9/2022
