payment_id,bill_id,payment_date,payment_amount,payment_method
1,113,6/23/2023,181.44,ACH
2,116,7/7/2024,291.92,Credit Card
3,235,6/28/2022,304.54,ACH
4,282,4/16/2021,279.86,Check
5,59,6/19/2024,170.55,Check
6,188,11/9/2024,293.92,Credit Card
7,226,5/7/2021,295.86,ACH
8,53,8/3/2023,381.19,Check
9,127,6/1/2021,183.97,Credit Card
10,231,7/9/2024,168.27,Credit Card
11,225,6/1/2024,439.38,Credit Card
12,122,7/16/2023,144.45,Check
13,180,12/4/2021,437.47,Check
14,220,3/19/2023,124.69,Credit Card
15,106,4/13/2021,416.09,Credit Card
16,292,12/31/2022,207.87,ACH
17,276,1/20/2023,125.77,Check
18,150,10/9/2024,180.2,ACH
19,264,10/23/2024,493.47,Check
20,49,12/29/2023,111.02,ACH
21,31,6/12/2024,496.62,Check
22,65,2/15/2024,365.64,Credit Card
23,128,5/4/2024,115.81,ACH
24,127,2/14/2024,392.66,Check
25,202,12/22/2023,270.26,Check
26,138,5/26/2023,332.52,ACH
27,232,11/3/2021,83.98,Credit Card
28,207,8/18/2024,282.03,ACH
29,189,1/15/2022,254.61,ACH
30,168,6/4/2024,311.88,Check
31,48,9/26/2024,378.92,ACH
32,184,2/4/2021,432.55,Check
33,204,2/8/2022,148.02,ACH
34,109,12/27/2022,272.62,ACH
35,146,3/3/2022,201.99,Check
36,67,5/3/2022,304.76,ACH
37,176,4/1/2022,452.37,Credit Card
38,24,3/6/2024,94.81,ACH
39,9,1/28/2023,105.91,Credit Card
40,226,12/29/2024,255.43,ACH
41,104,10/6/2023,498.06,Credit Card
42,155,7/18/2024,121.54,ACH
43,48,4/17/2023,344.56,ACH
44,43,5/11/2021,217.33,Check
45,85,8/15/2021,73.3,Check
46,157,6/20/2024,376.69,Credit Card
47,220,10/13/2022,344.97,Check
48,49,1/15/2024,50.49,ACH
49,40,8/3/2021,109.71,Credit Card
50,266,5/22/2024,355.99,Credit Card
51,5,5/28/2023,363.02,Credit Card
52,217,2/14/2022,362.31,ACH
53,37,1/23/2024,153.03,Credit Card
54,53,1/13/2022,96.44,ACH
55,154,6/18/2021,111.71,Credit Card
56,74,4/22/2022,80.79,Check
57,5,3/12/2021,324.64,Credit Card
58,226,12/30/2023,208.03,Credit Card
59,78,1/6/2022,463.95,Check
60,227,8/2/2024,436.98,Credit Card
61,52,8/1/2022,113.01,Credit Card
62,197,1/29/2024,208.19,ACH
63,162,5/21/2024,405.98,Credit Card
64,142,3/30/2023,340.08,Credit Card
65,284,12/20/2021,320.45,Check
66,146,8/4/2024,400.54,Check
67,14,10/3/2023,431.55,Check
68,155,6/2/2023,142.45,Check
69,261,7/19/2022,134.89,ACH
70,152,4/7/2023,340.78,Credit Card
71,254,9/15/2021,223.65,Credit Card
72,256,1/20/2023,337.14,Credit Card
73,271,3/25/2023,449.93,Credit Card
74,185,5/31/2024,470.27,Credit Card
75,199,12/25/2021,437.37,Check
76,216,1/13/2024,214.44,Check
77,89,3/27/2023,393.23,Credit Card
78,9,7/15/2024,314.31,Credit Card
79,135,11/3/2021,147.08,Credit Card
80,204,2/2/2021,277.97,Check
81,257,10/1/2024,395.2,ACH
82,206,10/14/2023,87.09,Check
83,276,9/22/2022,327.22,ACH
84,43,12/25/2023,189.46,Check
85,105,5/31/2021,488.44,Credit Card
86,275,6/15/2021,197.04,Check
87,34,12/10/2023,189.58,ACH
88,123,12/13/2022,76.06,Credit Card
89,223,8/29/2021,102.19,Check
90,29,11/17/2021,189.18,Check
91,90,5/23/2021,103.75,Check
92,71,12/25/2023,365.67,Credit Card
93,255,2/25/2024,478.86,Check
94,265,10/30/2022,402.34,Check
95,133,3/4/2022,125.13,Credit Card
96,138,2/5/2023,379.82,Credit Card
97,16,11/20/2021,200.75,ACH
98,140,8/14/2021,285.73,ACH
99,296,2/1/2023,332.39,ACH
100,234,4/16/2024,279.85,Credit Card
101,256,10/8/2022,436.71,Credit Card
102,189,6/27/2022,120.79,Credit Card
103,294,9/21/2022,353.35,Credit Card
104,117,3/28/2022,383.35,Credit Card
105,23,1/6/2021,436.41,Credit Card
106,126,12/13/2022,70.69,ACH
107,197,12/7/2021,464.1,Credit Card
108,19,12/24/2021,298.79,Check
109,215,5/11/2024,151.03,Credit Card
110,214,4/20/2021,462.13,ACH
111,139,4/24/2023,421.7,Check
112,191,4/27/2021,103.73,Check
113,27,3/16/2024,130.7,Check
114,24,9/14/2022,479.34,Credit Card
115,239,10/7/2024,439.71,ACH
116,168,8/28/2024,88.87,ACH
117,5,7/12/2023,216.01,ACH
118,289,2/6/2024,403.03,Check
119,125,7/10/2024,258.77,Check
120,253,4/22/2023,499,Credit Card
121,280,2/10/2024,392.22,Credit Card
122,78,4/23/2023,52.87,ACH
123,13,1/28/2023,154.85,ACH
124,5,4/12/2023,477.95,Credit Card
125,193,9/10/2024,432.05,Check
126,158,2/12/2022,96.78,Check
127,122,7/20/2022,238.92,Credit Card
128,73,4/21/2024,370.24,Credit Card
129,23,6/1/2024,464.57,Check
130,212,1/7/2023,365.38,ACH
131,235,4/21/2024,488.55,Credit Card
132,298,1/16/2023,93.01,Credit Card
133,202,3/3/2022,83.67,Check
134,32,6/7/2024,245.74,Credit Card
135,122,4/29/2022,181.25,ACH
136,202,12/5/2021,365.33,Check
137,168,4/2/2024,193.13,ACH
138,120,6/14/2024,83.61,Credit Card
139,70,8/29/2024,400.97,Check
140,56,1/14/2021,119.93,Credit Card
141,231,3/13/2023,259.72,ACH
142,62,4/27/2022,291.17,Credit Card
143,232,8/12/2023,188.74,ACH
144,62,9/28/2024,90.69,Check
145,156,5/17/2024,421.87,Check
146,21,4/3/2024,146.76,ACH
147,76,4/24/2022,91.05,Credit Card
148,183,10/29/2024,228.31,Credit Card
149,154,10/13/2024,167.08,Credit Card
150,16,5/11/2021,478.44,ACH
151,285,3/1/2024,386.64,Credit Card
152,49,2/23/2021,257.92,Credit Card
153,63,4/12/2021,55.38,Credit Card
154,67,3/29/2021,139.16,ACH
155,191,12/15/2021,358.83,Check
156,44,1/23/2022,312.05,ACH
157,39,10/23/2021,59.81,Credit Card
158,102,2/21/2022,456.12,ACH
159,66,8/5/2021,91.39,ACH
160,63,1/11/2021,69.21,ACH
161,26,11/29/2024,125.6,Check
162,222,11/28/2021,419.76,ACH
163,255,2/15/2022,63.27,Check
164,219,7/28/2023,127.76,Credit Card
165,96,5/11/2023,173.74,ACH
166,77,8/31/2023,65.59,Check
167,126,3/10/2024,341.28,ACH
168,211,4/8/2023,447.25,ACH
169,32,2/3/2021,89.47,ACH
170,71,12/19/2023,238.66,Check
171,270,11/5/2024,162.12,Check
172,10,10/7/2022,495.23,Check
173,184,11/8/2023,265.86,ACH
174,177,2/27/2024,460.7,Check
175,165,1/5/2022,224.77,Credit Card
176,14,4/3/2024,193.49,Credit Card
177,16,12/2/2021,453.09,ACH
178,30,9/17/2024,413.89,ACH
179,272,3/20/2021,210.84,Check
180,120,4/11/2024,488.29,Credit Card
181,127,1/11/2022,345.59,ACH
182,274,9/26/2022,417.33,Check
183,29,11/29/2024,393.82,Credit Card
184,295,3/18/2021,430.93,ACH
185,182,11/16/2021,470.84,Credit Card
186,91,6/7/2024,156.45,ACH
